========================================
         BYBIT OHLC DATA
========================================
Symbol     : 1000BONKUSDT
Category   : linear
Timeframe  : 5m
Total Data : 35136 candle
Dari       : 2025-06-01 00:00:00 UTC
Sampai     : 2025-09-30 23:55:00 UTC
Generated  : 2026-05-15 05:36:52 UTC
========================================

Waktu (UTC)              | Open          High          Low           Close         Volume          
2025-07-09 05:00:00      | 0.021975      0.022020      0.021924      0.021943      17104100.0000   
2025-07-09 05:05:00      | 0.021943      0.021974      0.021892      0.021925      14337300.0000   
2025-07-09 05:10:00      | 0.021925      0.021949      0.021711      0.021832      97138300.0000   
2025-07-09 05:15:00      | 0.021832      0.021962      0.021832      0.021953      41308500.0000   
2025-07-09 05:20:00      | 0.021953      0.021979      0.021881      0.021951      26431500.0000   
2025-07-09 05:25:00      | 0.021951      0.022009      0.021835      0.021847      34857400.0000   
2025-07-09 05:30:00      | 0.021847      0.021940      0.021806      0.021938      12581400.0000   
2025-07-09 05:35:00      | 0.021938      0.022250      0.021884      0.022092      182593700.0000  
2025-07-09 05:40:00      | 0.022092      0.022142      0.022000      0.022028      46463400.0000   
2025-07-09 05:45:00      | 0.022028      0.022054      0.021750      0.021805      137847500.0000  
2025-07-09 05:50:00      | 0.021805      0.021830      0.021761      0.021768      27612800.0000   
2025-07-09 05:55:00      | 0.021768      0.021782      0.021692      0.021762      58582700.0000   
2025-07-09 06:00:00      | 0.021762      0.021821      0.021609      0.021641      81584300.0000   
2025-07-09 06:05:00      | 0.021641      0.021688      0.021415      0.021609      172751700.0000  
2025-07-09 06:10:00      | 0.021609      0.021689      0.021590      0.021672      24978000.0000   
2025-07-09 06:15:00      | 0.021672      0.021790      0.021668      0.021789      32255500.0000   
2025-07-09 06:20:00      | 0.021789      0.021837      0.021731      0.021807      30271000.0000   
2025-07-09 06:25:00      | 0.021807      0.021953      0.021801      0.021929      43029000.0000   
2025-07-09 06:30:00      | 0.021929      0.021999      0.021851      0.021932      46060600.0000   
2025-07-09 06:35:00      | 0.021932      0.021964      0.021791      0.021885      30985500.0000   
2025-07-09 06:40:00      | 0.021885      0.021904      0.021836      0.021856      8154900.0000    
2025-07-09 06:45:00      | 0.021856      0.021898      0.021819      0.021840      9335800.0000    
2025-07-09 06:50:00      | 0.021840      0.021912      0.021765      0.021774      24361500.0000   
2025-07-09 06:55:00      | 0.021774      0.021784      0.021747      0.021777      16736100.0000   
2025-07-09 07:00:00      | 0.021777      0.021840      0.021750      0.021809      21082000.0000   
2025-07-09 07:05:00      | 0.021809      0.021858      0.021748      0.021777      12313900.0000   
2025-07-09 07:10:00      | 0.021777      0.021777      0.021678      0.021696      23568100.0000   
2025-07-09 07:15:00      | 0.021696      0.021881      0.021685      0.021873      24570600.0000   
2025-07-09 07:20:00      | 0.021873      0.021882      0.021778      0.021797      11099800.0000   
2025-07-09 07:25:00      | 0.021797      0.021827      0.021778      0.021826      6557800.0000    
2025-07-09 07:30:00      | 0.021826      0.021840      0.021774      0.021798      22707100.0000   
